group,channel,band,mean_signed_relevance,median_signed_relevance,mean_absolute_relevance,median_absolute_relevance
A+P-,Cz,alpha,0.12575066,0.123576455,0.31758657,0.32056808
A+P-,Cz,beta,0.074161604,0.060357735,0.32082713,0.32708597
A+P-,Cz,delta,0.03584259,0.04487975,0.21256857,0.20883587
A+P-,Cz,gamma,0.07607098,0.068211436,0.24844861,0.26418233
A+P-,Cz,theta,-0.1285041,-0.12306962,0.23551343,0.23522331
A+P-,F3,alpha,-0.10732878,-0.10396759,0.27637216,0.28607312
A+P-,F3,beta,0.04351958,0.035188027,0.19556098,0.19448762
A+P-,F3,delta,-0.119340606,-0.11474553,0.26823375,0.25782755
A+P-,F3,gamma,-0.03215981,-0.034563303,0.1697647,0.15995057
A+P-,F3,theta,0.03962149,0.030838776,0.2071792,0.21080853
A+P-,F4,alpha,-0.096887,-0.122611895,0.3087804,0.32722542
A+P-,F4,beta,0.0073411707,0.004728581,0.2221769,0.22691989
A+P-,F4,delta,-0.10325414,-0.1092184,0.22067347,0.2256912
A+P-,F4,gamma,0.043255504,0.004644806,0.21319084,0.1820106
A+P-,F4,theta,0.048026804,0.04364422,0.22745383,0.22525412
A+P-,F7,alpha,-0.1607776,-0.17154017,0.3854454,0.39414233
A+P-,F7,beta,-0.3854629,-0.3865435,0.44048238,0.44724476
A+P-,F7,delta,-0.03498146,-0.040032078,0.30775112,0.326909
A+P-,F7,gamma,-0.20470469,-0.21037024,0.28542766,0.27015296
A+P-,F7,theta,-0.34494522,-0.3578744,0.54163074,0.55567634
A+P-,F8,alpha,0.038411327,0.03821034,0.25909716,0.26456478
A+P-,F8,beta,-0.316636,-0.3365853,0.41402322,0.42251128
A+P-,F8,delta,-0.16723078,-0.17866822,0.2838436,0.30276078
A+P-,F8,gamma,0.007334215,-0.017444124,0.22819217,0.19535023
A+P-,F8,theta,-0.08527352,-0.09676197,0.26436397,0.26365227
A+P-,Fp1,alpha,-0.15979601,-0.16167371,0.33207795,0.34255403
A+P-,Fp1,beta,-0.08332373,-0.10019401,0.28954118,0.30716383
A+P-,Fp1,delta,0.17327692,0.17632712,0.2518398,0.26064086
A+P-,Fp1,gamma,-0.16396126,-0.16770163,0.2763036,0.28585207
A+P-,Fp1,theta,0.028044166,0.021776445,0.18682481,0.1855466
A+P-,Fp2,alpha,-0.24121737,-0.24904376,0.36843464,0.38470745
A+P-,Fp2,beta,0.03695917,0.040227503,0.32562402,0.33117217
A+P-,Fp2,delta,0.13829285,0.13685565,0.24094121,0.2571703
A+P-,Fp2,gamma,-0.13559465,-0.120193854,0.2524526,0.23897853
A+P-,Fp2,theta,-0.10384785,-0.09541197,0.21311434,0.21111833
A+P-,Fz,alpha,-0.086446516,-0.088798985,0.29875264,0.32157722
A+P-,Fz,beta,-0.03518016,-0.044407755,0.2928585,0.2946614
A+P-,Fz,delta,-0.10650399,-0.09071794,0.23222779,0.22429463
A+P-,Fz,gamma,-0.050017,-0.025717387,0.23967424,0.24434279
A+P-,Fz,theta,0.08370771,0.07745896,0.23078561,0.2401478
A+P-,O1,alpha,-0.23662955,-0.23146036,0.38841513,0.394303
A+P-,O1,beta,-0.03864755,-0.045418132,0.2682782,0.27700216
A+P-,O1,delta,0.13616326,0.13478585,0.21954952,0.22363815
A+P-,O1,gamma,-0.33998165,-0.42889887,0.41408384,0.48448318
A+P-,O1,theta,0.022730438,0.017095173,0.22002062,0.22990087
A+P-,O2,alpha,-0.2954066,-0.30222538,0.404296,0.41157418
A+P-,O2,beta,-0.048318833,-0.05690445,0.30864024,0.3144395
A+P-,O2,delta,0.4153424,0.42986333,0.44852027,0.46523643
A+P-,O2,gamma,-0.06962116,-0.054648064,0.26093632,0.27878845
A+P-,O2,theta,0.18481936,0.17363082,0.27756986,0.28651893
A+P-,P3,alpha,-0.12879366,-0.13766499,0.31019005,0.32244608
A+P-,P3,beta,-0.08357662,-0.084912986,0.23879774,0.26573288
A+P-,P3,delta,0.0076785185,0.008700212,0.18168406,0.19005504
A+P-,P3,gamma,0.10973964,0.11699791,0.24308173,0.25437862
A+P-,P3,theta,-0.05198195,-0.06211203,0.30384165,0.2897925
A+P-,P4,alpha,-0.016764529,-0.016544063,0.26314053,0.26832604
A+P-,P4,beta,-0.3677145,-0.39002904,0.45045164,0.47055206
A+P-,P4,delta,0.012587227,0.008081899,0.20745158,0.21087487
A+P-,P4,gamma,0.12276237,0.11815466,0.23318787,0.2390581
A+P-,P4,theta,-0.09405889,-0.10572523,0.27605483,0.26706138
A+P-,Pz,alpha,-0.046675064,-0.04607457,0.26741573,0.27528274
A+P-,Pz,beta,-0.031291757,-0.038040478,0.23783436,0.23463538
A+P-,Pz,delta,-0.18591765,-0.19549108,0.28665775,0.30836698
A+P-,Pz,gamma,-0.005914002,-0.0044124695,0.20207997,0.20541054
A+P-,Pz,theta,-0.25327888,-0.26696086,0.33386862,0.34027138
N,C3,alpha,-0.017942375,-0.013257174,0.24192491,0.24910855
N,C3,beta,0.091878645,0.096368834,0.24505208,0.23843704
N,C3,delta,0.2350189,0.23470305,0.2883147,0.29968703
N,C3,gamma,-0.12396884,-0.1245647,0.2672164,0.27581948
N,C3,theta,0.13472615,0.12761365,0.1872198,0.17723487
N,C4,alpha,-0.07738542,-0.0736392,0.2632056,0.2726363
N,C4,beta,-0.074800186,-0.08002364,0.24151494,0.24443565
N,C4,delta,-0.048021547,-0.042505816,0.2294911,0.23381904
N,C4,gamma,-0.024871042,-0.02919506,0.31622696,0.30946586
N,C4,theta,0.08627363,0.08079538,0.22165543,0.21130005
N,Cz,alpha,0.13341945,0.1373449,0.32301506,0.32949504
N,Cz,beta,0.09472065,0.108360074,0.327808,0.3255551
N,Cz,delta,0.039961655,0.04191853,0.21435468,0.22339678
N,Cz,gamma,0.07976347,0.076460354,0.25098485,0.26082516
N,Cz,theta,-0.12192984,-0.124361224,0.22703677,0.22333695
N,F3,alpha,-0.10797912,-0.11148698,0.2720453,0.2800576
N,F3,beta,0.054776154,0.049907647,0.21081345,0.19888303
N,F3,delta,-0.10314747,-0.09787385,0.25614765,0.2680696
N,F3,gamma,-0.027342033,-0.029704925,0.19367868,0.1693542
N,F3,theta,0.04339301,0.04029623,0.20044051,0.19589171
N,F4,alpha,-0.08831371,-0.085147545,0.30219615,0.3022634
N,F4,beta,0.019247586,0.015669102,0.23461042,0.23462243
N,F4,delta,-0.096384116,-0.10493254,0.2133599,0.22408363
N,F4,gamma,0.065596096,0.007273364,0.2357368,0.17751937
N,F4,theta,0.048092928,0.046986464,0.22292389,0.23063909
N,F7,alpha,-0.1635356,-0.16487859,0.3838485,0.39374578
N,F7,beta,-0.37803435,-0.3733463,0.43900654,0.42704603
N,F7,delta,-0.027547905,-0.032716196,0.313428,0.32349992
N,F7,gamma,-0.21758787,-0.22250892,0.31236225,0.29976514
N,F7,theta,-0.34715402,-0.3550464,0.53319055,0.5403929
N,F8,alpha,0.04540377,0.051412817,0.25666454,0.26053518
N,F8,beta,-0.3085202,-0.3164857,0.40787122,0.389041
N,F8,delta,-0.16711727,-0.16339047,0.29000133,0.2947654
N,F8,gamma,0.013624188,-0.009434419,0.24238367,0.22397432
N,F8,theta,-0.09349925,-0.10374861,0.26219165,0.25164402
N,Fp1,alpha,-0.14974742,-0.15768231,0.3201745,0.33242148
N,Fp1,beta,-0.075258195,-0.055459928,0.2792125,0.2677249
N,Fp1,delta,0.17942224,0.18596037,0.2620509,0.27146682
N,Fp1,gamma,-0.16777284,-0.16558912,0.27928546,0.27911672
N,Fp1,theta,0.022812054,0.019917227,0.17870599,0.18345435
N,Fp2,alpha,-0.21863753,-0.24312346,0.34978163,0.37519976
N,Fp2,beta,0.049022373,0.05749422,0.32063523,0.3195025
N,Fp2,delta,0.14484835,0.14224131,0.24773654,0.25749317
N,Fp2,gamma,-0.12239987,-0.11890241,0.25349197,0.2397176
N,Fp2,theta,-0.100317165,-0.10075441,0.20439343,0.2106834
N,Fz,alpha,-0.085489154,-0.08262813,0.3041529,0.31351998
N,Fz,beta,-0.022374451,-0.03796358,0.299466,0.2868385
N,Fz,delta,-0.0937548,-0.094037175,0.22619946,0.22184397
