group,n_subjects,mean_p_ad,std_p_ad,median_p_ad,pred_ad_rate
A+P+,20,0.41706025314,0.15352217894847825,0.430226671,0.35
A+P-,26,0.3192389395846154,0.12271798368428238,0.307318257,0.11538461538461539
N,31,0.33098970906451614,0.13647584696460469,0.307893364,0.0967741935483871
