group,n,mean,std,median,min,max
N,31,54.774193548387096,2.9178722546786826,55.0,51,60
A+P-,26,55.53846153846154,3.215347809874001,56.0,50,62
A+P+,20,55.6,3.393492223902128,56.0,51,63
